parcel_1,parcel_3,parcel_5,parcel_8,parcel_13
211.287244524275,403.234293084396,271.28835550944,281.771369240501,741.19091796875
154.371716453916,488.291346499794,143.277782440186,207.068320534446,181.375640869141
67.1279147920154,162.077894913523,8.45372184117635,103.653970198198,101.835324423654
96.0288374764579,474.181557103207,156.820964813232,3.99383319507946,49.9008124215262
134.262943812779,463.62782930073,335.716822306315,224.12253223766,118.05523790632
34.4763559613909,129.577188993755,33.5654344558716,70.8087761618874,68.8908086504255
45.8705885750907,100.622946086683,63.3007411956787,67.6515856656161,27.7147263118199
40.8548452286493,170.060218811035,185.335780461629,145.758315346458,53.6608478001186
178.86023294358,249.134962784617,161.426006317139,270.698787342418,155.613432747977
60.4742547898066,114.070469705682,39.4837058385213,52.5045044638894,70.5489719935826
10.6978808811733,195.650519120066,183.316696166992,231.979238336737,178.352288382394
30.3220597221738,233.96453014173,115.815728505452,20.8912260749123,31.9770897456578
31.1325341179257,279.071358931692,37.7009452184041,65.6483771584251,153.688904898507
33.3310901096889,132.821556091309,189.117808024089,168.208584872159,92.1042872837612
79.0867970784505,70.461838069715,100.42560450236,177.000468167392,249.853417532785
-3.66315255846296,67.5090169404682,-4.2330363591512,59.5468878312544,301.110569545201
64.9145182654971,128.843006736354,110.509783426921,132.630543795499,87.5504673549107
240.807056971959,185.030577007093,167.227680206299,394.810130726207,224.573253086635
35.4995103563581,54.7006341030723,17.8734941482544,22.7560218464244,17.6912611552647
73.0179353441511,341.291514346474,140.18151473999,242.484243219549,84.4634742736816
14.3086306027004,42.1921410309641,83.9139804840088,124.220273798162,125.707720075335
9.82425553458078,345.587880184776,208.634215037028,192.408111572266,143.073081970215
79.7259674072266,137.891251011899,100.071431477865,321.020036177202,470.789210728237
159.935985746838,23.352116409101,94.5771115620931,82.1760898936879,124.172739301409
78.0780121939523,106.099146190443,68.6435260772705,88.0115391124379,111.520385742188
29.9878362928118,2.52993164564434,5.68327164649963,-6.13223739103837,8.38587992531913
26.4112140110561,64.3627345436498,-6.38475998242696,-18.6464355642145,69.133175441197
158.672855922154,107.517049689042,-28.215025583903,18.7525496049361,104.316798618862
30.9469137645903,135.387204019647,57.7703514099121,32.5327549414201,84.2306093488421
65.3977080753871,104.411357779252,135.933582305908,104.954656427557,185.894307817732
