Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Audio,ANSWER,Test1,Test2
41,1.60347E+12,23/10/2020 15:01:44,1.60347E+12,-4,23/10/2020 11:02:16,23213,10,task-l2fh,,7413210,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,8,10,3,Screen 3,advancementZone,content_audio,1472.705,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,tilapi.wav,pabiku.wav
42,1.60347E+12,23/10/2020 15:01:45,1.60347E+12,-4,23/10/2020 11:02:18,23213,10,task-l2fh,,7413210,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,8,10,4,Screen 4,buttonA,response_button_image,1545.48,,,Arnie_1.png,1,0,1,0,,,,,1,2AFC,,Arnie_2.png,tilapi.wav,pabiku.wav
43,1.60347E+12,23/10/2020 15:01:47,1.60347E+12,-4,23/10/2020 11:02:20,23213,10,task-l2fh,,7413210,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,13,11,1,Screen 1,audio,content_audio,1450.915,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,parodo.wav,daropi.wav
44,1.60347E+12,23/10/2020 15:01:47,1.60347E+12,-4,23/10/2020 11:02:20,23213,10,task-l2fh,,7413210,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,13,11,2,Screen 2,fixation,fixation,450.873,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,parodo.wav,daropi.wav
45,1.60347E+12,23/10/2020 15:01:49,1.60347E+12,-4,23/10/2020 11:02:21,23213,10,task-l2fh,,7413210,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,13,11,3,Screen 3,advancementZone,content_audio,1453.645,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,parodo.wav,daropi.wav
46,1.60347E+12,23/10/2020 15:01:50,1.60347E+12,-4,23/10/2020 11:02:23,23213,10,task-l2fh,,7413210,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,13,11,4,Screen 4,buttonB,response_button_image,1285.84,,,Arnie_2.png,1,1,0,0,,,,,1,2AFC,,Arnie_2.png,parodo.wav,daropi.wav
47,1.60347E+12,23/10/2020 15:01:52,1.60347E+12,-4,23/10/2020 11:02:24,23213,10,task-l2fh,,7413210,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,9,12,1,Screen 1,audio,content_audio,1454.65,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,parodo.wav,daropi.wav
48,1.60347E+12,23/10/2020 15:01:52,1.60347E+12,-4,23/10/2020 11:02:25,23213,10,task-l2fh,,7413210,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,9,12,2,Screen 2,fixation,fixation,450.873,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,parodo.wav,daropi.wav
49,1.60347E+12,23/10/2020 15:01:53,1.60347E+12,-4,23/10/2020 11:02:26,23213,10,task-l2fh,,7413210,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,9,12,3,Screen 3,advancementZone,content_audio,1457.835,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,parodo.wav,daropi.wav
50,1.60347E+12,23/10/2020 15:01:56,1.60347E+12,-4,23/10/2020 11:02:29,23213,10,task-l2fh,,7413210,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,9,12,4,Screen 4,buttonA,response_button_image,2690.055,,,Arnie_1.png,1,0,1,0,,,,,1,2AFC,,Arnie_2.png,parodo.wav,daropi.wav
51,1.60347E+12,23/10/2020 15:01:56,1.60347E+12,-4,23/10/2020 11:02:29,23213,10,task-l2fh,,7413210,BLIND,2165039,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 86.0.4240.75,1680x1050,1678x832,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,,,END TASK,,,,,114631,,,,,0,1,0,,,,,,,,,,
1,1.60331E+12,21/10/2020 20:22:15,1.60331E+12,-4,21/10/2020 16:22:14,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1.60331E+12,21/10/2020 20:22:35,1.60331E+12,-4,21/10/2020 16:22:34,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,1,1,1,Screen 1,advancementZone,continue_button,19355.27,,,,,0,1,0,,,,,,Test Description,,,,
3,1.60331E+12,21/10/2020 20:22:37,1.60331E+12,-4,21/10/2020 16:22:36,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,11,1,1,Screen 1,audio,content_audio,1725.915,,,,,0,1,0,,,,,1,2AFC,,Arnie_1.png,golatu.wav,dabitu.wav
4,1.60331E+12,21/10/2020 20:22:37,1.60331E+12,-4,21/10/2020 16:22:37,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,11,1,2,Screen 2,fixation,fixation,449.575,,,,,0,1,0,,,,,1,2AFC,,Arnie_1.png,golatu.wav,dabitu.wav
5,1.60331E+12,21/10/2020 20:22:39,1.60331E+12,-4,21/10/2020 16:22:38,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,11,1,3,Screen 3,advancementZone,content_audio,1660.135,,,,,0,1,0,,,,,1,2AFC,,Arnie_1.png,golatu.wav,dabitu.wav
6,1.60331E+12,21/10/2020 20:22:44,1.60331E+12,-4,21/10/2020 16:22:43,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,11,1,4,Screen 4,buttonA,response_button_image,4711.75,,,Arnie_1.png,1,1,0,0,,,,,1,2AFC,,Arnie_1.png,golatu.wav,dabitu.wav
7,1.60331E+12,21/10/2020 20:22:45,1.60331E+12,-4,21/10/2020 16:22:45,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,9,2,1,Screen 1,audio,content_audio,1662.615,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,parodo.wav,daropi.wav
8,1.60331E+12,21/10/2020 20:22:46,1.60331E+12,-4,21/10/2020 16:22:45,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,9,2,2,Screen 2,fixation,fixation,449.599,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,parodo.wav,daropi.wav
9,1.60331E+12,21/10/2020 20:22:48,1.60331E+12,-4,21/10/2020 16:22:47,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,9,2,3,Screen 3,advancementZone,content_audio,1655.96,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,parodo.wav,daropi.wav
10,1.60331E+12,21/10/2020 20:22:51,1.60331E+12,-4,21/10/2020 16:22:51,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,9,2,4,Screen 4,buttonB,response_button_image,3567.76,,,Arnie_2.png,1,1,0,0,,,,,1,2AFC,,Arnie_2.png,parodo.wav,daropi.wav
11,1.60331E+12,21/10/2020 20:22:53,1.60331E+12,-4,21/10/2020 16:22:52,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,13,3,1,Screen 1,audio,content_audio,1724.06,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,parodo.wav,daropi.wav
12,1.60331E+12,21/10/2020 20:22:53,1.60331E+12,-4,21/10/2020 16:22:53,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,13,3,2,Screen 2,fixation,fixation,449.579,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,parodo.wav,daropi.wav
13,1.60331E+12,21/10/2020 20:22:55,1.60331E+12,-4,21/10/2020 16:22:54,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,13,3,3,Screen 3,advancementZone,content_audio,1673.635,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,parodo.wav,daropi.wav
14,1.60331E+12,21/10/2020 20:22:58,1.60331E+12,-4,21/10/2020 16:22:58,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,13,3,4,Screen 4,buttonA,response_button_image,3184.5,,,Arnie_1.png,1,0,1,0,,,,,1,2AFC,,Arnie_2.png,parodo.wav,daropi.wav
15,1.60331E+12,21/10/2020 20:23:00,1.60331E+12,-4,21/10/2020 16:23:00,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,4,4,1,Screen 1,audio,content_audio,1759.455,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,dabitu.wav,tibudo.wav
16,1.60331E+12,21/10/2020 20:23:01,1.60331E+12,-4,21/10/2020 16:23:00,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,4,4,2,Screen 2,fixation,fixation,449.56,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,dabitu.wav,tibudo.wav
17,1.60331E+12,21/10/2020 20:23:02,1.60331E+12,-4,21/10/2020 16:23:02,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,4,4,3,Screen 3,advancementZone,content_audio,1677.67,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,dabitu.wav,tibudo.wav
18,1.60331E+12,21/10/2020 20:23:05,1.60331E+12,-4,21/10/2020 16:23:04,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,4,4,4,Screen 4,buttonA,response_button_image,2344.975,,,Arnie_1.png,1,0,1,0,,,,,1,2AFC,,Arnie_2.png,dabitu.wav,tibudo.wav
19,1.60331E+12,21/10/2020 20:23:07,1.60331E+12,-4,21/10/2020 16:23:06,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,8,5,1,Screen 1,audio,content_audio,1602.395,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,tilapi.wav,pabiku.wav
20,1.60331E+12,21/10/2020 20:23:07,1.60331E+12,-4,21/10/2020 16:23:06,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,8,5,2,Screen 2,fixation,fixation,449.598,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,tilapi.wav,pabiku.wav
21,1.60331E+12,21/10/2020 20:23:09,1.60331E+12,-4,21/10/2020 16:23:08,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,8,5,3,Screen 3,advancementZone,content_audio,1667.54,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,tilapi.wav,pabiku.wav
22,1.60331E+12,21/10/2020 20:23:18,1.60331E+12,-4,21/10/2020 16:23:17,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,8,5,4,Screen 4,buttonB,response_button_image,9122.845,,,Arnie_2.png,1,1,0,0,,,,,1,2AFC,,Arnie_2.png,tilapi.wav,pabiku.wav
23,1.60331E+12,21/10/2020 20:23:20,1.60331E+12,-4,21/10/2020 16:23:19,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,10,6,1,Screen 1,audio,content_audio,1742.565,,,,,0,1,0,,,,,1,2AFC,,Arnie_1.png,tibudo.wav,parodo.wav
24,1.60331E+12,21/10/2020 20:23:20,1.60331E+12,-4,21/10/2020 16:23:19,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,10,6,2,Screen 2,fixation,fixation,449.586,,,,,0,1,0,,,,,1,2AFC,,Arnie_1.png,tibudo.wav,parodo.wav
25,1.60331E+12,21/10/2020 20:23:22,1.60331E+12,-4,21/10/2020 16:23:21,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,10,6,3,Screen 3,advancementZone,content_audio,1663.555,,,,,0,1,0,,,,,1,2AFC,,Arnie_1.png,tibudo.wav,parodo.wav
26,1.60331E+12,21/10/2020 20:23:25,1.60331E+12,-4,21/10/2020 16:23:24,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,10,6,4,Screen 4,buttonA,response_button_image,2837.495,,,Arnie_1.png,1,1,0,0,,,,,1,2AFC,,Arnie_1.png,tibudo.wav,parodo.wav
27,1.60331E+12,21/10/2020 20:23:27,1.60331E+12,-4,21/10/2020 16:23:26,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,12,7,1,Screen 1,audio,content_audio,1757.38,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,dabitu.wav,pabiku.wav
28,1.60331E+12,21/10/2020 20:23:27,1.60331E+12,-4,21/10/2020 16:23:26,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,12,7,2,Screen 2,fixation,fixation,449.584,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,dabitu.wav,pabiku.wav
29,1.60331E+12,21/10/2020 20:23:29,1.60331E+12,-4,21/10/2020 16:23:28,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,12,7,3,Screen 3,advancementZone,content_audio,1671.465,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,dabitu.wav,pabiku.wav
30,1.60331E+12,21/10/2020 20:23:30,1.60331E+12,-4,21/10/2020 16:23:29,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,12,7,4,Screen 4,buttonB,response_button_image,850.375,,,Arnie_2.png,1,1,0,0,,,,,1,2AFC,,Arnie_2.png,dabitu.wav,pabiku.wav
31,1.60331E+12,21/10/2020 20:23:31,1.60331E+12,-4,21/10/2020 16:23:31,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,3,8,1,Screen 1,audio,content_audio,1608.225,,,,,0,1,0,,,,,1,2AFC,,Arnie_1.png,daropi.wav,tilapi.wav
32,1.60331E+12,21/10/2020 20:23:32,1.60331E+12,-4,21/10/2020 16:23:31,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,3,8,2,Screen 2,fixation,fixation,449.592,,,,,0,1,0,,,,,1,2AFC,,Arnie_1.png,daropi.wav,tilapi.wav
33,1.60331E+12,21/10/2020 20:23:33,1.60331E+12,-4,21/10/2020 16:23:33,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,3,8,3,Screen 3,advancementZone,content_audio,1666.875,,,,,0,1,0,,,,,1,2AFC,,Arnie_1.png,daropi.wav,tilapi.wav
34,1.60331E+12,21/10/2020 20:23:35,1.60331E+12,-4,21/10/2020 16:23:34,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,3,8,4,Screen 4,buttonA,response_button_image,1107.875,,,Arnie_1.png,1,1,0,0,,,,,1,2AFC,,Arnie_1.png,daropi.wav,tilapi.wav
35,1.60331E+12,21/10/2020 20:23:36,1.60331E+12,-4,21/10/2020 16:23:36,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,7,9,1,Screen 1,audio,content_audio,1700.02,,,,,0,1,0,,,,,1,2AFC,,Arnie_1.png,golatu.wav,tilapi.wav
36,1.60331E+12,21/10/2020 20:23:38,1.60331E+12,-4,21/10/2020 16:23:36,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,7,9,2,Screen 2,fixation,fixation,449.596,,,,,0,1,0,,,,,1,2AFC,,Arnie_1.png,golatu.wav,tilapi.wav
37,1.60331E+12,21/10/2020 20:23:38,1.60331E+12,-4,21/10/2020 16:23:38,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,7,9,3,Screen 3,advancementZone,content_audio,1655.545,,,,,0,1,0,,,,,1,2AFC,,Arnie_1.png,golatu.wav,tilapi.wav
38,1.60331E+12,21/10/2020 20:23:39,1.60331E+12,-4,21/10/2020 16:23:38,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,7,9,4,Screen 4,buttonB,response_button_image,293.965,,,Arnie_2.png,1,0,1,0,,,,,1,2AFC,,Arnie_1.png,golatu.wav,tilapi.wav
39,1.60331E+12,21/10/2020 20:23:41,1.60331E+12,-4,21/10/2020 16:23:40,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,6,10,1,Screen 1,audio,content_audio,1709.43,,,,,0,1,0,,,,,1,2AFC,,Arnie_1.png,tibudo.wav,parodo.wav
40,1.60331E+12,21/10/2020 20:23:41,1.60331E+12,-4,21/10/2020 16:23:40,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,6,10,2,Screen 2,fixation,fixation,449.594,,,,,0,1,0,,,,,1,2AFC,,Arnie_1.png,tibudo.wav,parodo.wav
41,1.60331E+12,21/10/2020 20:23:43,1.60331E+12,-4,21/10/2020 16:23:42,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,6,10,3,Screen 3,advancementZone,content_audio,1609.325,,,,,0,1,0,,,,,1,2AFC,,Arnie_1.png,tibudo.wav,parodo.wav
42,1.60331E+12,21/10/2020 20:23:47,1.60331E+12,-4,21/10/2020 16:23:46,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,6,10,4,Screen 4,buttonA,response_button_image,4290.725,,,Arnie_1.png,1,1,0,0,,,,,1,2AFC,,Arnie_1.png,tibudo.wav,parodo.wav
43,1.60331E+12,21/10/2020 20:23:49,1.60331E+12,-4,21/10/2020 16:23:48,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,5,11,1,Screen 1,audio,content_audio,1698.09,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,parodo.wav,golatu.wav
44,1.60331E+12,21/10/2020 20:23:50,1.60331E+12,-4,21/10/2020 16:23:49,23213,10,task-l2fh,,7374723,BLIND,2152805,,complete,,,computer,Desktop or Laptop,Chromium OS 13421.53.0,Chrome 86.0.4240.77,1366x768,1366x649,,Auditory Statistical Learning Paradigm,14,Test_Spreadsheet,Test_Spreadsheet,5,11,2,Screen 2,fixation,fixation,449.578,,,,,0,1,0,,,,,1,2AFC,,Arnie_2.png,parodo.wav,golatu.wav
