Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,button,table,stim1,stim2,audio,toy1,toy2,toy3,toy4,mary
23,1.60124E+12,27/09/2020 21:06:36,1.60124E+12,-4,27/09/2020 17:06:39,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,10,11,1,LearningTrial1,Zone3,content_audio,8216.1,,,,,0,1,0,,,,,1,trials,alien_bink5.png,,empty table.png,dino_bink5.png,alien_bink5.png,want_bink_alien.mp3,,,,,
24,1.60124E+12,27/09/2020 21:06:37,1.60124E+12,-4,27/09/2020 17:06:40,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,10,11,2,Screen 1,Zone4,response_button_image,1127.64,,,alien_bink5.png,1,1,0,0,,,,,1,trials,alien_bink5.png,,empty table.png,dino_bink5.png,alien_bink5.png,want_bink_alien.mp3,,,,,
25,1.60124E+12,27/09/2020 21:06:47,1.60124E+12,-4,27/09/2020 17:06:50,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,15,12,1,LearningTrial1,Zone3,content_audio,9664.315,,,,,0,1,0,,,,,1,trials,dino_wilp5.png,,empty table.png,alien_wilp5.png,dino_wilp5.png,like_wilp_dino.mp3,,,,,
26,1.60124E+12,27/09/2020 21:06:50,1.60124E+12,-4,27/09/2020 17:06:53,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,15,12,2,Screen 1,Zone4,response_button_image,3176.175,,,dino_wilp5.png,1,1,0,0,,,,,1,trials,dino_wilp5.png,,empty table.png,alien_wilp5.png,dino_wilp5.png,like_wilp_dino.mp3,,,,,
27,1.60124E+12,27/09/2020 21:06:59,1.60124E+12,-4,27/09/2020 17:07:02,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,5,13,1,LearningTrial1,Zone3,content_audio,8635.145,,,,,0,1,0,,,,,1,trials,dino_gaz5.png,,empty table.png,dino_gaz5.png,alien_gaz5.png,want_gaz_dino.mp3,,,,,
28,1.60124E+12,27/09/2020 21:07:00,1.60124E+12,-4,27/09/2020 17:07:03,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,5,13,2,Screen 1,Zone2,response_button_image,1106.835,,,dino_gaz5.png,1,1,0,0,,,,,1,trials,dino_gaz5.png,,empty table.png,dino_gaz5.png,alien_gaz5.png,want_gaz_dino.mp3,,,,,
29,1.60124E+12,27/09/2020 21:07:08,1.60124E+12,-4,27/09/2020 17:07:11,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,16,14,1,LearningTrial1,Zone3,content_audio,8605.155,,,,,0,1,0,,,,,1,trials,dino_stad5.png,,empty table.png,dino_stad5.png,alien_stad5.png,want_stad_dino.mp3,,,,,
30,1.60124E+12,27/09/2020 21:07:11,1.60124E+12,-4,27/09/2020 17:07:14,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,16,14,2,Screen 1,Zone2,response_button_image,2484.47,,,dino_stad5.png,1,1,0,0,,,,,1,trials,dino_stad5.png,,empty table.png,dino_stad5.png,alien_stad5.png,want_stad_dino.mp3,,,,,
31,1.60124E+12,27/09/2020 21:07:19,1.60124E+12,-4,27/09/2020 17:07:22,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,2,15,1,LearningTrial1,Zone3,content_audio,8263.25,,,,,0,1,0,,,,,1,trials,dino_bink5.png,,empty table.png,alien_bink5.png,dino_bink5.png,like_bink_dino.mp3,,,,,
32,1.60124E+12,27/09/2020 21:07:20,1.60124E+12,-4,27/09/2020 17:07:23,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,2,15,2,Screen 1,Zone4,response_button_image,391.18,,,dino_bink5.png,1,1,0,0,,,,,1,trials,dino_bink5.png,,empty table.png,alien_bink5.png,dino_bink5.png,like_bink_dino.mp3,,,,,
33,1.60124E+12,27/09/2020 21:07:30,1.60124E+12,-4,27/09/2020 17:07:33,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,3,16,1,LearningTrial1,Zone3,content_audio,9930.405,,,,,0,1,0,,,,,1,trials,dino_doff5.png,,empty table.png,alien_doff5.png,dino_doff5.png,want_doff_dino.mp3,,,,,
34,1.60124E+12,27/09/2020 21:07:31,1.60124E+12,-4,27/09/2020 17:07:34,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,3,16,2,Screen 1,Zone4,response_button_image,1134.175,,,dino_doff5.png,1,1,0,0,,,,,1,trials,dino_doff5.png,,empty table.png,alien_doff5.png,dino_doff5.png,want_doff_dino.mp3,,,,,
35,1.60124E+12,27/09/2020 21:07:40,1.60124E+12,-4,27/09/2020 17:07:43,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,7,17,1,LearningTrial1,Zone3,content_audio,9321.94,,,,,0,1,0,,,,,1,trials,alien_wilp5.png,,empty table.png,dino_wilp5.png,alien_wilp5.png,want_wilp_alien.mp3,,,,,
36,1.60124E+12,27/09/2020 21:07:41,1.60124E+12,-4,27/09/2020 17:07:44,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,7,17,2,Screen 1,Zone4,response_button_image,1312.78,,,alien_wilp5.png,1,1,0,0,,,,,1,trials,alien_wilp5.png,,empty table.png,dino_wilp5.png,alien_wilp5.png,want_wilp_alien.mp3,,,,,
37,1.60124E+12,27/09/2020 21:07:51,1.60124E+12,-4,27/09/2020 17:07:54,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,21,18,1,LearningTrial1,Zone3,content_audio,9348.15,,,,,0,1,0,,,,,1,trials,alien_apple2.png,,empty table.png,dino_apple3.png,alien_apple2.png,apple.mp3,,,,,
38,1.60124E+12,27/09/2020 21:07:52,1.60124E+12,-4,27/09/2020 17:07:55,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,21,18,2,Screen 1,Zone4,response_button_image,864.815,,,alien_apple2.png,1,1,0,0,,,,,1,trials,alien_apple2.png,,empty table.png,dino_apple3.png,alien_apple2.png,apple.mp3,,,,,
39,1.60124E+12,27/09/2020 21:08:01,1.60124E+12,-4,27/09/2020 17:08:04,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,18,19,1,LearningTrial1,Zone3,content_audio,8759.35,,,,,0,1,0,,,,,1,trials,dino_ball.png,,empty table.png,alien_ball1.png,dino_ball.png,ball.mp3,,,,,
40,1.60124E+12,27/09/2020 21:08:02,1.60124E+12,-4,27/09/2020 17:08:05,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,18,19,2,Screen 1,Zone4,response_button_image,1700.81,,,dino_ball.png,1,1,0,0,,,,,1,trials,dino_ball.png,,empty table.png,alien_ball1.png,dino_ball.png,ball.mp3,,,,,
41,1.60124E+12,27/09/2020 21:08:10,1.60124E+12,-4,27/09/2020 17:08:13,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,17,20,1,LearningTrial1,Zone3,content_audio,7699.04,,,,,0,1,0,,,,,1,trials,dino_blap5.png,,empty table.png,dino_blap5.png,alien_blap5.png,like_blap_dino.mp3,,,,,
42,1.60124E+12,27/09/2020 21:08:13,1.60124E+12,-4,27/09/2020 17:08:16,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,17,20,2,Screen 1,Zone2,response_button_image,3239.095,,,dino_blap5.png,1,1,0,0,,,,,1,trials,dino_blap5.png,,empty table.png,dino_blap5.png,alien_blap5.png,like_blap_dino.mp3,,,,,
43,1.60124E+12,27/09/2020 21:08:16,1.60124E+12,-4,27/09/2020 17:08:19,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,22,1,1,Screen 1,advancementZone,response_button_image,2529.74,,,green.png,1,0,1,0,,,,,,Break,,green.png,,,,,,,,,
44,1.60124E+12,27/09/2020 21:08:21,1.60124E+12,-4,27/09/2020 17:08:24,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,24,1,1,Screen 1,buttonD,response_button_image,4985.625,,,blap.png,1,1,0,0,,,,,2,Recalling,blap.png,,,,,which_blap.mp3,blap.png,stad.png,pru.png,wilp.png,
45,1.60124E+12,27/09/2020 21:08:28,1.60124E+12,-4,27/09/2020 17:08:31,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,23,2,1,Screen 1,buttonD,response_button_image,7137.605,,,zeb.png,1,0,1,0,,,,,2,Recalling,bink.png,,,,,which_bink.mp3,zeb.png,bink.png,doff.png,gaz.png,
46,1.60124E+12,27/09/2020 21:08:33,1.60124E+12,-4,27/09/2020 17:08:36,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,30,3,1,Screen 1,buttonB,response_button_image,5434.855,,,stad.png,1,0,1,0,,,,,2,Recalling,zeb.png,,,,,which_zeb.mp3,gaz.png,blap.png,zeb.png,stad.png,
47,1.60124E+12,27/09/2020 21:08:37,1.60124E+12,-4,27/09/2020 17:08:40,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,26,4,1,Screen 1,buttonC,response_button_image,3954.69,,,pru.png,1,0,1,0,,,,,2,Recalling,gaz.png,,,,,which_gaz.mp3,gaz.png,pru.png,stad.png,zeb.png,
48,1.60124E+12,27/09/2020 21:08:40,1.60124E+12,-4,27/09/2020 17:08:44,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,29,5,1,Screen 1,buttonB,response_button_image,3170.01,,,wilp.png,1,1,0,0,,,,,2,Recalling,wilp.png,,,,,which_wilp.mp3,pru.png,doff.png,bink.png,wilp.png,
49,1.60124E+12,27/09/2020 21:08:44,1.60124E+12,-4,27/09/2020 17:08:47,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,28,6,1,Screen 1,buttonB,response_button_image,3781.24,,,zeb.png,1,0,1,0,,,,,2,Recalling,stad.png,,,,,which_stad.mp3,gaz.png,stad.png,wilp.png,zeb.png,
50,1.60124E+12,27/09/2020 21:08:48,1.60124E+12,-4,27/09/2020 17:08:52,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,25,7,1,Screen 1,buttonB,response_button_image,4182.58,,,doff.png,1,1,0,0,,,,,2,Recalling,doff.png,,,,,which_doff.mp3,wilp.png,blap.png,bink.png,doff.png,
51,1.60124E+12,27/09/2020 21:08:54,1.60124E+12,-4,27/09/2020 17:08:57,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,27,8,1,Screen 1,buttonA,response_button_image,5288.46,,,pru.png,1,1,0,0,,,,,2,Recalling,pru.png,,,,,which_pru.mp3,bink.png,doff.png,pru.png,blap.png,
52,1.60124E+12,27/09/2020 21:08:56,1.60124E+12,-4,27/09/2020 17:08:59,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,taught-inferred,31,1,1,Screen 1,advancementZone,response_button_image,2446.42,,,green.png,1,0,1,0,,,,,,End,,green.png,,,,,,,,,
53,1.60124E+12,27/09/2020 21:08:56,1.60124E+12,-4,27/09/2020 17:08:59,23213,10,task-o6yv,,6981392,BLIND,2012770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Learning Task,2,taught-inferred,,,END TASK,,,,,256400,,,,,0,1,0,,,,,,,,,,,,,,,,,
1,1.60122E+12,27/09/2020 15:27:07,1.60122E+12,-4,27/09/2020 11:27:07,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1.60122E+12,27/09/2020 15:27:10,1.60122E+12,-4,27/09/2020 11:27:10,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,1,1,1,Screen 1,advancementZone,response_button_image,2535.345,,,green.png,1,0,1,0,,,,,,intro,,green.png,,,,,,,,,
3,1.60122E+12,27/09/2020 15:27:18,1.60122E+12,-4,27/09/2020 11:27:19,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,14,1,1,LearningTrial1,Zone3,content_audio,8816.87,,,,,0,1,0,,,,,1,trials,dino_pru5.png,,empty table.png,alien_pru5.png,dino_pru5.png,want_pru_dino.mp3,,,,,
4,1.60122E+12,27/09/2020 15:27:19,1.60122E+12,-4,27/09/2020 11:27:20,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,14,1,2,Screen 1,Zone4,response_button_image,324.8000001,,,dino_pru5.png,1,1,0,0,,,,,1,trials,dino_pru5.png,,empty table.png,alien_pru5.png,dino_pru5.png,want_pru_dino.mp3,,,,,
5,1.60122E+12,27/09/2020 15:27:27,1.60122E+12,-4,27/09/2020 11:27:28,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,16,2,1,LearningTrial1,Zone3,content_audio,8547.995,,,,,0,1,0,,,,,1,trials,dino_stad5.png,,empty table.png,dino_stad5.png,alien_stad5.png,want_stad_dino.mp3,,,,,
6,1.60122E+12,27/09/2020 15:27:29,1.60122E+12,-4,27/09/2020 11:27:30,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,16,2,2,Screen 1,Zone2,response_button_image,1362.72,,,dino_stad5.png,1,1,0,0,,,,,1,trials,dino_stad5.png,,empty table.png,dino_stad5.png,alien_stad5.png,want_stad_dino.mp3,,,,,
7,1.60122E+12,27/09/2020 15:27:38,1.60122E+12,-4,27/09/2020 11:27:39,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,7,3,1,LearningTrial1,Zone3,content_audio,9358.615,,,,,0,1,0,,,,,1,trials,alien_wilp5.png,,empty table.png,dino_wilp5.png,alien_wilp5.png,want_wilp_alien.mp3,,,,,
8,1.60122E+12,27/09/2020 15:27:40,1.60122E+12,-4,27/09/2020 11:27:41,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,7,3,2,Screen 1,Zone4,response_button_image,1595.6,,,alien_wilp5.png,1,1,0,0,,,,,1,trials,alien_wilp5.png,,empty table.png,dino_wilp5.png,alien_wilp5.png,want_wilp_alien.mp3,,,,,
9,1.60122E+12,27/09/2020 15:27:48,1.60122E+12,-4,27/09/2020 11:27:49,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,10,4,1,LearningTrial1,Zone3,content_audio,8222.58,,,,,0,1,0,,,,,1,trials,alien_bink5.png,,empty table.png,dino_bink5.png,alien_bink5.png,want_bink_alien.mp3,,,,,
10,1.60122E+12,27/09/2020 15:27:48,1.60122E+12,-4,27/09/2020 11:27:49,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,10,4,2,Screen 1,Zone4,response_button_image,570.465,,,alien_bink5.png,1,1,0,0,,,,,1,trials,alien_bink5.png,,empty table.png,dino_bink5.png,alien_bink5.png,want_bink_alien.mp3,,,,,
11,1.60122E+12,27/09/2020 15:27:56,1.60122E+12,-4,27/09/2020 11:27:57,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,17,5,1,LearningTrial1,Zone3,content_audio,7713.79,,,,,0,1,0,,,,,1,trials,dino_blap5.png,,empty table.png,dino_blap5.png,alien_blap5.png,like_blap_dino.mp3,,,,,
12,1.60122E+12,27/09/2020 15:27:58,1.60122E+12,-4,27/09/2020 11:27:59,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,17,5,2,Screen 1,Zone2,response_button_image,1531.545,,,dino_blap5.png,1,1,0,0,,,,,1,trials,dino_blap5.png,,empty table.png,dino_blap5.png,alien_blap5.png,like_blap_dino.mp3,,,,,
13,1.60122E+12,27/09/2020 15:28:06,1.60122E+12,-4,27/09/2020 11:28:07,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,6,6,1,LearningTrial1,Zone3,content_audio,8071.335,,,,,0,1,0,,,,,1,trials,alien_pru5.png,,empty table.png,dino_pru5.png,alien_pru5.png,like_pru_alien.mp3,,,,,
14,1.60122E+12,27/09/2020 15:28:07,1.60122E+12,-4,27/09/2020 11:28:08,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,6,6,2,Screen 1,Zone4,response_button_image,858.675,,,alien_pru5.png,1,1,0,0,,,,,1,trials,alien_pru5.png,,empty table.png,dino_pru5.png,alien_pru5.png,like_pru_alien.mp3,,,,,
15,1.60122E+12,27/09/2020 15:28:17,1.60122E+12,-4,27/09/2020 11:28:18,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,3,7,1,LearningTrial1,Zone3,content_audio,9909.785,,,,,0,1,0,,,,,1,trials,dino_doff5.png,,empty table.png,alien_doff5.png,dino_doff5.png,want_doff_dino.mp3,,,,,
16,1.60122E+12,27/09/2020 15:28:18,1.60122E+12,-4,27/09/2020 11:28:19,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,3,7,2,Screen 1,Zone4,response_button_image,1049.81,,,dino_doff5.png,1,1,0,0,,,,,1,trials,dino_doff5.png,,empty table.png,alien_doff5.png,dino_doff5.png,want_doff_dino.mp3,,,,,
17,1.60122E+12,27/09/2020 15:28:26,1.60122E+12,-4,27/09/2020 11:28:27,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,5,8,1,LearningTrial1,Zone3,content_audio,8659.7,,,,,0,1,0,,,,,1,trials,dino_gaz5.png,,empty table.png,dino_gaz5.png,alien_gaz5.png,want_gaz_dino.mp3,,,,,
18,1.60122E+12,27/09/2020 15:28:27,1.60122E+12,-4,27/09/2020 11:28:28,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,5,8,2,Screen 1,Zone2,response_button_image,376.5850001,,,dino_gaz5.png,1,1,0,0,,,,,1,trials,dino_gaz5.png,,empty table.png,dino_gaz5.png,alien_gaz5.png,want_gaz_dino.mp3,,,,,
19,1.60122E+12,27/09/2020 15:28:37,1.60122E+12,-4,27/09/2020 11:28:37,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,15,9,1,LearningTrial1,Zone3,content_audio,9689.43,,,,,0,1,0,,,,,1,trials,dino_wilp5.png,,empty table.png,alien_wilp5.png,dino_wilp5.png,like_wilp_dino.mp3,,,,,
20,1.60122E+12,27/09/2020 15:28:38,1.60122E+12,-4,27/09/2020 11:28:39,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,15,9,2,Screen 1,Zone4,response_button_image,1802.9,,,dino_wilp5.png,1,1,0,0,,,,,1,trials,dino_wilp5.png,,empty table.png,alien_wilp5.png,dino_wilp5.png,like_wilp_dino.mp3,,,,,
21,1.60122E+12,27/09/2020 15:28:48,1.60122E+12,-4,27/09/2020 11:28:49,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,21,10,1,LearningTrial1,Zone3,content_audio,9363.64,,,,,0,1,0,,,,,1,trials,alien_apple2.png,,empty table.png,dino_apple3.png,alien_apple2.png,apple.mp3,,,,,
22,1.60122E+12,27/09/2020 15:28:49,1.60122E+12,-4,27/09/2020 11:28:50,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,21,10,2,Screen 1,Zone4,response_button_image,1091.77,,,alien_apple2.png,1,1,0,0,,,,,1,trials,alien_apple2.png,,empty table.png,dino_apple3.png,alien_apple2.png,apple.mp3,,,,,
23,1.60122E+12,27/09/2020 15:28:56,1.60122E+12,-4,27/09/2020 11:28:57,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,8,11,1,LearningTrial1,Zone3,content_audio,7654.78,,,,,0,1,0,,,,,1,trials,alien_stad5.png,,empty table.png,alien_stad5.png,dino_stad5.png,like_stad_alien.mp3,,,,,
24,1.60122E+12,27/09/2020 15:28:57,1.60122E+12,-4,27/09/2020 11:28:58,23213,10,task-o6yv,,6979149,BLIND,2012127,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1311x746,,Learning Task,2,taught-inferred,taught-inferred,8,11,2,Screen 1,Zone2,response_button_image,633.59,,,alien_stad5.png,1,1,0,0,,,,,1,trials,alien_stad5.png,,empty table.png,alien_stad5.png,dino_stad5.png,like_stad_alien.mp3,,,,,
