soundFile,word,location,repetition,trialnum,condition,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,tone_block_key_resp.keys,tone_block_key_resp.rt,sound_block_key_resp.keys,sound_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
2A.wav,4,1,20,229,S,0,36,36,36,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
2B.wav,4,2,20,230,S,0,37,37,37,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
2C.wav,4,3,20,231,S,0,38,38,38,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
4A.wav,3,1,20,232,S,0,39,39,39,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
4B.wav,3,2,20,233,S,0,40,40,40,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
4C.wav,3,3,20,234,S,0,41,41,41,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
3A.wav,1,1,20,235,S,0,42,42,42,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
3B.wav,1,2,20,236,S,0,43,43,43,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
3C.wav,1,3,20,237,S,0,44,44,44,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
1A.wav,2,1,20,238,S,0,45,45,45,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
1B.wav,2,2,20,239,S,0,46,46,46,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
1C.wav,2,3,20,240,S,0,47,47,47,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
2A.wav,4,1,21,241,S,0,48,48,48,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
2B.wav,4,2,21,242,S,0,49,49,49,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
2C.wav,4,3,21,243,S,0,50,50,50,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
3A.wav,1,1,21,244,S,0,51,51,51,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
3B.wav,1,2,21,245,S,0,52,52,52,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
3C.wav,1,3,21,246,S,0,53,53,53,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
4A.wav,3,1,21,247,S,0,54,54,54,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
4B.wav,3,2,21,248,S,0,55,55,55,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
4C.wav,3,3,21,249,S,0,56,56,56,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
2A.wav,4,1,22,250,S,0,57,57,57,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
2B.wav,4,2,22,251,S,0,58,58,58,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
2C.wav,4,3,22,252,S,0,59,59,59,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
3A.wav,1,1,22,253,S,0,60,60,60,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
3B.wav,1,2,22,254,S,0,61,61,61,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
3C.wav,1,3,22,255,S,0,62,62,62,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
4A.wav,3,1,22,256,S,0,63,63,63,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
4B.wav,3,2,22,257,S,0,64,64,64,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
4C.wav,3,3,22,258,S,0,65,65,65,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
