soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,sound_block_key_resp.keys,sound_block_key_resp.rt,tone_block_key_resp.keys,tone_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
da.wav,0,2,1,233,R,0,40,40,40,,,,,2,0.173737049103,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pa.wav,0,3,1,234,R,0,41,41,41,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ta.wav,0,1,1,235,R,0,42,42,42,,,,,2,0.17018699646,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
da.wav,0,2,1,236,R,0,43,43,43,,,,,2,0.256102085114,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ta.wav,0,3,1,237,R,0,44,44,44,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
tu.wav,0,1,1,238,R,0,45,45,45,,,,,2,0.251772880554,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
bu.wav,0,2,1,239,R,0,46,46,46,,,,,2,0.204732894897,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
tu.wav,0,3,1,240,R,0,47,47,47,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ti.wav,0,1,1,241,R,0,48,48,48,,,,,2,0.405917167664,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ba.wav,0,2,1,242,R,0,49,49,49,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
di.wav,0,3,1,243,R,0,50,50,50,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pu.wav,0,1,1,244,R,0,51,51,51,,,,,2,0.45298409462,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pu.wav,0,2,1,245,R,0,52,52,52,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ba.wav,0,3,1,246,R,0,53,53,53,,,,,2,0.405071020126,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
du.wav,0,1,1,247,R,0,54,54,54,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
bi.wav,0,2,1,248,R,0,55,55,55,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
