soundFile,word,location,repetition,trialnum,condition,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,tone_block_key_resp.keys,tone_block_key_resp.rt,sound_block_key_resp.keys,sound_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
3A.wav,1,1,10,97,S,0,0,0,0,,,,,None,,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
3B.wav,1,2,10,98,S,0,1,1,1,,,,,None,,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
3C.wav,1,3,10,99,S,0,2,2,2,,,,,None,,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
1A.wav,2,1,8,100,S,0,3,3,3,,,,,None,,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
1B.wav,2,2,8,101,S,0,4,4,4,,,,,None,,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
1C.wav,2,3,8,102,S,0,5,5,5,,,,,None,,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
2A.wav,4,1,9,103,S,0,6,6,6,,,,,2,0.305969953537,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
2B.wav,4,2,9,104,S,0,7,7,7,,,,,None,,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
2C.wav,4,3,9,105,S,0,8,8,8,,,,,None,,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
4A.wav,3,1,9,106,S,0,9,9,9,,,,,None,,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
4B.wav,3,2,9,107,S,0,10,10,10,,,,,None,,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
4C.wav,3,3,9,108,S,0,11,11,11,,,,,2,0.0392289161682,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
1A.wav,2,1,9,109,S,0,12,12,12,,,,,None,,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
1B.wav,2,2,9,110,S,0,13,13,13,,,,,None,,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
1C.wav,2,3,9,111,S,0,14,14,14,,,,,None,,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
3A.wav,1,1,11,112,S,0,15,15,15,,,,,2,0.0229799747467,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
3B.wav,1,2,11,113,S,0,16,16,16,,,,,None,,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
3C.wav,1,3,11,114,S,0,17,17,17,,,,,2,0.449850082397,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
4A.wav,3,1,10,115,S,0,18,18,18,,,,,None,,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
4B.wav,3,2,10,116,S,0,19,19,19,,,,,2,0.357974052429,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
4C.wav,3,3,10,117,S,0,20,20,20,,,,,2,0.448549032211,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
2A.wav,4,1,10,118,S,0,21,21,21,,,,,None,,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
2B.wav,4,2,10,119,S,0,22,22,22,,,,,2,0.0417721271515,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
2C.wav,4,3,10,120,S,0,23,23,23,,,,,2,0.0688800811768,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
1A.wav,2,1,10,121,S,0,24,24,24,,,,,2,0.400951862335,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
1B.wav,2,2,10,122,S,0,25,25,25,,,,,2,0.421034812927,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
1C.wav,2,3,10,123,S,0,26,26,26,,,,,2,0.372786998749,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
3A.wav,1,1,12,124,S,0,27,27,27,,,,,2,0.402708053589,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
3B.wav,1,2,12,125,S,0,28,28,28,,,,,None,,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
3C.wav,1,3,12,126,S,0,29,29,29,,,,,2,0.0889880657196,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
1A.wav,2,1,11,127,S,0,30,30,30,,,,,2,0.173462867737,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
1B.wav,2,2,11,128,S,0,31,31,31,,,,,2,0.123271942139,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
1C.wav,2,3,11,129,S,0,32,32,32,,,,,2,0.140882015228,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
2A.wav,4,1,11,130,S,0,33,33,33,,,,,None,,,,pu,3,sllip_013,None,2C,auditory,2020_Jan_25_1439,
