soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,sound_block_key_resp.keys,sound_block_key_resp.rt,tone_block_key_resp.keys,tone_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
pi.wav,1,1,33,379,S,0,0,0,0,,,,,None,,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
tu.wav,1,2,33,380,S,0,1,1,1,,,,,None,,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
bi.wav,1,3,33,381,S,0,2,2,2,,,,,None,,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
pi.wav,1,1,34,385,S,0,3,3,3,,,,,None,,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
tu.wav,1,2,34,386,S,0,4,4,4,,,,,None,,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
bi.wav,1,3,34,387,S,0,5,5,5,,,,,None,,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
bu.wav,4,1,33,391,S,0,6,6,6,,,,,None,,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
pa.wav,4,2,33,392,S,0,7,7,7,,,,,2,0.255879878998,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
da.wav,4,3,33,393,S,0,8,8,8,,,,,2,0.290645837784,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
ta.wav,3,1,33,394,S,0,9,9,9,,,,,2,0.318964004517,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
ti.wav,3,2,33,395,S,0,10,10,10,,,,,2,0.30567407608,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
du.wav,3,3,33,396,S,0,11,11,11,,,,,2,0.209161043167,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
di.wav,2,1,33,397,S,0,12,12,12,,,,,2,0.189909934998,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
ba.wav,2,2,33,398,S,0,13,13,13,,,,,2,0.238498926163,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
pu.wav,2,3,33,399,S,0,14,14,14,,,,,2,0.287430047989,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
pi.wav,1,1,35,400,S,0,15,15,15,,,,,2,0.206048965454,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
tu.wav,1,2,35,401,S,0,16,16,16,,,,,2,0.103744983673,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
bi.wav,1,3,35,402,S,0,17,17,17,,,,,2,0.117698192596,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
ta.wav,3,1,34,403,S,0,18,18,18,,,,,2,0.126075029373,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
ti.wav,3,2,34,404,S,0,19,19,19,,,,,2,0.186856031418,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
du.wav,3,3,34,405,S,0,20,20,20,,,,,2,0.123083114624,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
bu.wav,4,1,34,406,S,0,21,21,21,,,,,2,0.0750031471252,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
pa.wav,4,2,34,407,S,0,22,22,22,,,,,2,0.0650901794434,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
da.wav,4,3,34,408,S,0,23,23,23,,,,,2,0.106291055679,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
di.wav,2,1,34,409,S,0,24,24,24,,,,,2,0.133955001831,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
ba.wav,2,2,34,410,S,0,25,25,25,,,,,2,0.206816911697,,,pu,1,sllip_013,61.3784716785,2C,auditory,2020_Jan_25_1447,
